repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,composes,implements,measures,overrides
527515025__springBoot,,java,1,948,187,440,315,13,1590,321,39,328,870,700,148,4,223,2457,27
AntennaPod__AntennaPod,,java,1,1807,1948,1231,907,117,7088,1041,970,6782,7368,3870,962,4,673,9490,384
Anuken__Mindustry,,java,1,3562,10,2102,2016,535,16383,2085,987,7122,23014,9198,3433,4,1352,15590,961
ArthurHub__Android-Image-Cropper,,java,1,222,9,55,63,5,619,103,23,429,1016,653,81,4,37,714,4
AsyncHttpClient__async-http-client,,java,1,456,667,754,577,130,4398,863,608,4293,2753,2470,514,4,428,5985,439
Baseflow__PhotoView,,java,1,105,9,59,47,3,264,33,15,141,207,202,33,4,34,362,3
Bearded-Hen__Android-Bootstrap,,java,1,179,165,139,94,58,2867,120,19,562,717,488,140,4,74,1077,161
Bigkoo__Android-PickerView,,java,1,180,73,83,63,7,606,109,52,336,910,382,62,4,43,747,11
Blankj__AndroidUtilCode,,java,1,1054,299,716,685,110,6021,715,262,4783,3102,6490,451,4,445,9325,103
Blankj__awesome-java-leetcode,,java,1,289,19,140,142,0,233,84,79,122,61,202,29,4,70,583,0
CarGuo__GSYVideoPlayer,,java,1,687,744,590,418,135,4842,618,325,3645,4645,3014,468,4,320,6659,526
ChrisRM__material-theme-jetbrains,,java,1,667,380,589,390,156,3150,422,113,1618,1251,1353,111,4,315,4713,264
Curzibn__Luban,,java,1,113,4,34,23,1,144,29,13,71,101,89,19,4,18,190,2
DImuthuUpe__AndroidPdfViewer,,java,1,112,55,95,78,10,610,86,34,428,708,429,115,4,54,755,17
EnterpriseQualityCoding__FizzBuzzEnterpriseEdition,,java,1,147,147,178,121,39,279,97,10,71,164,106,106,4,91,408,49
Exrick__xmall,,java,1,2107,388,441,350,42,5263,2839,413,3628,2045,4124,465,4,251,6194,177
Freelander__Android_Data,,java,1,6,0,4,5,0,20,2,0,0,13,32,0,4,2,41,0
GoogleContainerTools__jib,,java,1,2013,1876,1240,862,145,6459,1348,1184,8594,5973,2607,1450,4,684,9272,310
GrenderG__Toasty,,java,1,128,1,15,12,0,96,17,1,80,49,189,0,4,8,146,0
GrowingGit__GitHub-Chinese-Top-Charts,,java,1,205,0,1,0,0,2,1,0,0,0,1,0,4,1,5,0
H07000223__FlycoTabLayout,,java,1,96,30,40,42,2,538,36,16,186,694,272,28,4,24,636,5
HMCL-dev__HMCL,,java,1,1043,2264,1524,1317,344,9050,1934,1058,7343,7770,5215,1563,4,926,11473,620
HannahMitt__HomeMirror,,java,1,189,32,69,64,0,249,36,3,100,216,81,26,4,42,274,0
HarlonWang__AVLoadingIndicatorView,,java,1,112,26,72,43,29,247,42,1,171,186,115,5,4,37,345,54
JakeWharton__butterknife,,java,1,378,217,409,398,19,1119,255,238,479,594,428,66,4,266,1602,22
JakeWharton__hugo,,java,1,67,1,12,13,0,48,6,2,38,7,22,0,4,7,95,0
JeffLi1993__springboot-learning-example,,java,1,842,76,171,122,9,463,119,23,103,266,216,66,4,86,773,30
JessYanCoding__AndroidAutoSize,,java,1,272,61,82,50,13,335,74,18,241,176,274,28,4,41,575,24
JessYanCoding__MVPArms,,java,1,294,202,241,201,30,1120,213,36,390,547,959,116,4,134,1631,78
JesusFreke__smali,,java,1,1136,2251,1624,1086,886,6920,1695,1443,6987,5558,3985,1932,4,887,10040,1278
Justson__AgentWeb,,java,1,328,116,295,217,65,1615,336,106,877,1238,1315,216,4,165,2168,152
Konloch__bytecode-viewer,,java,1,521,899,619,418,107,2674,470,218,1812,2957,1749,365,4,329,3528,127
KunMinX__Jetpack-MVVM-Best-Practice,,java,1,219,113,182,184,25,705,115,43,189,427,619,59,4,111,966,6
LawnchairLauncher__lawnchair,,java,1,4114,4478,2707,2355,696,23153,3023,1645,19446,29628,15853,4426,4,1639,27398,1828
LuckSiege__PictureSelector,,java,1,868,940,787,619,91,5702,820,351,4191,6005,3841,638,4,449,7115,339
Meituan-Dianping__Leaf,,java,1,101,53,68,52,4,272,53,23,119,199,99,21,4,35,380,10
Meituan-Dianping__walle,,java,1,195,68,132,139,15,604,125,60,286,435,403,78,4,84,755,36
MinecraftForge__MinecraftForge,,java,1,3686,2267,2563,2425,619,12801,2801,967,4191,7076,10983,1345,4,1615,15434,528
MisterBooo__LeetCodeAnimation,,java,1,690,0,2,0,0,5,2,0,1,0,5,0,4,2,12,0
