repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
JeffLi1993__springboot-learning-example,springboot-webflux-4-thymeleaf,java,1,13,5,10,12,0,40,6,0,10,27,20,9,72,0
JeffLi1993__springboot-learning-example,springboot-webflux-5-thymeleaf-mongodb,java,1,13,5,10,12,0,35,4,0,8,24,19,7,62,0
JeffLi1993__springboot-learning-example,springboot-webflux-6-redis,java,1,10,2,8,9,0,26,4,0,2,14,11,2,45,0
JeffLi1993__springboot-learning-example,springboot-webflux-7-redis-cache,java,1,13,5,10,12,0,33,4,0,7,29,14,7,57,0
JeffLi1993__springboot-learning-example,springboot-webflux-8-websocket,java,1,8,1,6,7,0,7,3,0,0,0,3,1,20,0
JeffLi1993__springboot-learning-example,springboot-webflux-9-test,java,1,13,5,10,12,0,29,4,0,5,19,14,7,55,0
JessYanCoding__AndroidAutoSize,,java,4,60,61,78,48,13,331,72,18,241,176,274,28,565,0
JessYanCoding__MVPArms,,java,4,160,202,237,199,30,1117,211,36,390,547,959,116,1622,0
JesusFreke__smali,,java,4,724,2029,1478,1000,865,6298,1596,877,6058,5333,3811,1909,8833,1
Justson__AgentWeb,,java,3,148,116,283,211,64,1603,330,106,918,1238,1315,216,2137,7
Konloch__bytecode-viewer,,java,2,353,896,615,415,106,2662,467,215,1801,2931,1742,363,3510,0
KunMinX__Jetpack-MVVM-Best-Practice,,java,2,102,113,174,180,25,697,111,43,189,427,619,59,945,0
LMAX-Exchange__disruptor,LMAX-Exchange__disruptor,java,1,39,11,82,86,0,197,54,22,22,88,124,26,279,0
LawnchairLauncher__lawnchair,LawnchairLauncher__lawnchair,java,1,518,1947,1131,981,291,10350,1322,681,8107,13122,8048,1986,12109,11
LawnchairLauncher__lawnchair,compatLib,java,1,7,0,6,6,0,20,3,2,0,3,23,0,38,0
LawnchairLauncher__lawnchair,go,java,1,15,4,26,30,1,131,18,6,29,103,80,10,126,0
LawnchairLauncher__lawnchair,hidden-api,java,1,18,1,18,23,1,74,17,4,12,46,49,9,90,0
LawnchairLauncher__lawnchair,lawnchair,java,1,464,2,51,62,2,379,36,12,161,331,295,24,465,0
LawnchairLauncher__lawnchair,quickstep,java,1,354,585,722,622,132,7664,732,331,5064,8889,4673,1038,9045,1
LawnchairLauncher__lawnchair,src_plugins,java,1,15,2,21,19,0,61,1,0,1,0,36,4,59,0
LawnchairLauncher__lawnchair,src_shortcuts_overrides,java,1,8,0,8,12,0,28,5,2,3,16,29,0,41,0
LawnchairLauncher__lawnchair,src_ui_overrides,java,1,14,0,14,13,0,42,11,4,1,2,46,0,83,0
LawnchairLauncher__lawnchair,systemUIPlugin,java,1,8,0,6,7,0,20,3,0,0,19,8,0,26,0
LawnchairLauncher__lawnchair,systemUIPluginCore,java,1,15,2,21,16,1,41,2,0,4,2,33,1,55,0
LawnchairLauncher__lawnchair,systemUIShared,java,1,132,14,143,157,3,1077,132,37,337,1088,758,99,1128,0
LawnchairLauncher__lawnchair,systemUIViewCapture,java,1,10,0,8,13,0,82,10,6,20,126,39,13,56,0
LuckSiege__PictureSelector,,java,6,405,940,785,618,91,5701,819,351,4191,6005,3841,638,7112,1
Meituan-Dianping__Leaf,,java,2,49,43,60,48,4,259,49,20,112,194,99,19,356,0
Meituan-Dianping__walle,app,java,1,7,0,4,6,0,4,2,0,1,0,1,0,11,0
Meituan-Dianping__walle,payload_reader,java,1,10,0,12,9,0,48,11,4,15,22,33,0,66,0
Meituan-Dianping__walle,payload_writer,java,1,8,0,9,9,0,32,5,7,25,10,52,2,61,0
Meituan-Dianping__walle,plugin,java,1,43,43,83,110,10,471,96,41,204,376,293,76,541,1
Meituan-Dianping__walle,walle-cli,java,1,18,13,25,19,5,66,11,8,17,31,22,0,88,0
MinecraftForge__MinecraftForge,javafmllanguage,java,1,10,2,13,15,0,43,8,1,2,32,25,2,53,0
MinecraftForge__MinecraftForge,mclanguage,java,1,6,0,5,7,0,11,3,1,0,3,6,0,20,0
MinecraftForge__MinecraftForge,mdk,java,1,5,0,5,6,0,28,3,0,0,17,6,0,20,0
MisterBooo__LeetCodeAnimation,,java,1,2,0,2,0,0,4,2,0,0,0,4,0,10,0
MyCATApache__Mycat-Server,,java,1,1016,3152,1854,1208,398,12503,1482,975,10763,11243,8466,2041,16170,0
NLPchina__ansj_seg,NLPchina__ansj_seg,java,1,110,279,175,122,30,1007,215,132,750,968,644,218,1313,5
NLPchina__ansj_seg,plugin,java,1,9,2,8,8,0,55,8,3,42,76,30,1,76,0
NLPchina__elasticsearch-sql,,java,1,146,284,243,163,29,2011,234,216,1585,1379,1727,246,3242,3
NanoHttpd__nanohttpd,,java,5,73,81,96,74,22,463,114,45,303,347,338,93,641,0
Netflix__Hystrix,,java,12,367,822,719,681,168,3667,1076,367,2780,2657,2150,1094,4534,0
Netflix__eureka,,java,8,376,931,711,567,132,4064,1024,439,3076,3688,2490,1019,4955,22
Netflix__zuul,,java,5,334,672,590,443,91,3142,599,222,1820,2414,2121,719,4011,0
OpenAPITools__openapi-generator,modules,java,1,19,0,32,22,10,203,17,3,46,186,60,2,134,0
OpenAPITools__openapi-generator,samples,java,1,39,52,69,44,11,560,133,14,265,408,460,47,885,2
OpenFeign__feign,OpenFeign__feign,java,1,4,0,7,9,0,30,13,4,4,9,27,0,38,0
OpenFeign__feign,annotation-error-decoder,java,1,10,0,20,17,0,51,17,7,22,41,36,7,55,0
OpenFeign__feign,apt-test-generator,java,1,6,0,8,5,0,19,4,3,4,11,14,0,21,0
OpenFeign__feign,benchmark,java,1,6,0,9,7,0,42,4,0,4,28,10,2,49,0
OpenFeign__feign,core,java,1,79,73,224,242,70,1116,398,102,700,796,1103,441,1370,58
OpenFeign__feign,dropwizard-metrics4,java,1,13,0,22,12,2,74,13,14,19,73,64,17,106,0
OpenFeign__feign,dropwizard-metrics5,java,1,13,0,22,12,2,74,13,14,18,70,64,17,106,0
OpenFeign__feign,example-wikipedia-with-springboot,java,1,6,0,11,11,0,21,9,1,4,3,10,2,36,0
OpenFeign__feign,example-wikipedia,java,1,4,0,7,9,0,16,7,1,4,2,10,1,26,0
OpenFeign__feign,fastjson2,java,1,4,0,4,3,0,8,4,0,0,4,7,0,13,0
OpenFeign__feign,gson,java,1,6,0,8,5,0,16,8,1,6,6,13,0,27,0
OpenFeign__feign,hc5,java,1,4,0,4,3,0,21,4,0,6,9,21,0,35,0
OpenFeign__feign,hystrix,java,1,9,0,17,14,2,67,26,7,14,26,61,6,88,0
OpenFeign__feign,jackson-jaxb,java,1,5,0,4,4,0,8,4,0,0,6,7,0,13,0
OpenFeign__feign,jackson-jr,java,1,6,0,7,7,2,14,10,0,9,4,15,0,24,0
OpenFeign__feign,jackson,java,1,5,0,7,6,0,27,11,3,6,11,19,0,35,0
OpenFeign__feign,jaxb-jakarta,java,1,9,0,16,12,2,60,27,2,7,51,43,12,68,0
OpenFeign__feign,jaxb,java,1,9,0,16,12,2,60,27,2,7,51,43,12,68,0
OpenFeign__feign,jaxrs2,java,1,4,0,4,3,0,13,3,0,7,2,11,0,26,0
OpenFeign__feign,jaxrs3,java,1,4,0,4,3,0,3,3,0,1,0,1,0,8,0
OpenFeign__feign,json,java,1,4,0,4,3,0,5,2,0,1,0,8,0,13,0
OpenFeign__feign,micrometer,java,1,20,0,37,21,5,115,25,18,44,84,162,26,176,0
OpenFeign__feign,mock,java,1,8,0,15,13,0,98,47,13,52,66,107,40,149,0
OpenFeign__feign,moshi,java,1,5,0,6,4,0,12,7,0,4,6,10,0,20,0
OpenFeign__feign,reactive,java,1,11,0,23,20,6,51,21,8,15,26,44,0,78,0
OpenFeign__feign,ribbon,java,1,6,0,14,17,1,69,23,10,15,49,40,6,83,0
OpenFeign__feign,soap-jakarta,java,1,5,0,8,8,0,41,18,2,2,46,22,2,37,0
OpenFeign__feign,soap,java,1,5,0,8,8,0,41,18,2,2,46,22,2,37,0
OpenRefine__OpenRefine,,java,7,775,2622,1516,1107,515,6434,1296,947,5057,6057,4905,1546,9278,1
PaperMC__Paper,test-plugin,java,1,14,3,18,13,0,31,12,3,3,7,19,1,68,0
PhilJay__MPAndroidChart,,java,2,246,1094,467,314,221,3947,601,287,4554,3152,2828,682,5435,5
PojavLauncherTeam__PojavLauncher,app_pojavlauncher,java,1,284,523,529,405,78,3273,401,153,1763,3108,1966,393,3591,0
PojavLauncherTeam__PojavLauncher,arc_dns_injector,java,1,7,0,8,6,0,47,4,0,39,18,27,0,73,0
