repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
Angel-ML__angel,spark-on-angel,java,1,54,183,53,175,1073,735,338,1376,320,1056,1,236,55,348,229,4,1393,344,115,348,1438,1056,44,6.13143,5,35,4.62167,1.82857,1,10,0.324324,0,10,0.874797,0.324324,0,5,0.632408,0.984157,1,9,4.49375,27,0.0228571,0.0228571,2,1,1,0.300546,5,0.300546,7,11,8,6.13143,5,35,2.62721,1,7,40,2.97064,15.9946,55.9237,259.282,4.96216,3633.84,0.0864272,709.726,8810.1,1,1,1,1
AntennaPod__AntennaPod,app,java,1,37,160,36,207,1423,1200,223,2124,791,1333,1,196,315,367,288,50,2214,263,206,959,2096,1333,116,6.8744,5,40,6.61236,3.82126,2,27,0.673928,0,15,1.24698,0.673928,0,17,1.48421,0.936753,1,7,2.64981,17,0.241546,0.241546,9,2,1.12,1.96875,18,1.96875,38,9,6,6.8744,5,40,3.25931,2,7,40,4.13725,20.6182,70.3845,352.542,5.29905,4666.77,0.117514,830,9087.3,1,1,1,1
AntennaPod__AntennaPod,event,java,1,7,24,6,27,74,44,30,82,32,50,1,30,0,51,35,0,106,47,17,1,61,50,6,2.74074,2,8,2.04745,1.18519,1,4,0.0135135,0,1,0.11546,0.0135135,0,1,0.11546,0.675676,0,4,1.90625,5,0,0,0,,,0,0,0,0,7,4,2.74074,2,8,1.44595,1,2,5,0.856484,7.65909,15.4773,49.8035,2.31197,232.003,0.0166012,103.964,277.69,0,0,1,1
AntennaPod__AntennaPod,model,java,1,8,25,7,29,431,383,48,605,230,375,1,32,10,54,39,2,661,83,7,140,732,375,60,14.8621,6,64,18.6783,7.93103,4,31,0.324826,0,15,1.17448,0.324826,0,6,0.768468,0.87007,0,21,3.18261,20,0.0689655,0.0689655,2,1,1,0.4,4,0.4,2,7,4,14.8621,6,64,1.86311,1,4,23,2.74302,8.95518,26.5434,103.54,3.10843,1356.82,0.0345132,236,1653.14,1,1,1,1
AntennaPod__AntennaPod,net,java,1,6,7,5,7,35,28,7,33,15,18,1,12,2,14,11,0,50,7,2,19,24,18,0,5,2,15,4.44008,2.14286,2,7,0.542857,0,3,0.730669,0.542857,0,5,0.9955,0.514286,0,3,1.6,7,0,0,0,,,0.285714,2,0.285714,1,7,4,5,2,15,3,1,6,20,4.18842,17.2143,63.6786,310.701,7.3599,5309.44,0.103567,1522.07,23618.2,1,0,1,0
AntennaPod__AntennaPod,parser,java,1,9,22,8,23,86,61,25,234,135,99,1,30,48,45,31,9,221,42,23,84,189,99,26,3.73913,3,14,2.72217,5.86957,3,35,0.976744,0,11,2.10744,0.976744,0,8,1.77827,1.15116,1,4,1.4,10,0.391304,0.391304,8,1,1,2.18182,11,2.18182,11,8,5,3.73913,3,14,2.11628,1,4,17,2.43243,22.3279,105.541,572.93,8.14396,14291.4,0.190977,2207.31,47009.8,1,1,1,1
AntennaPod__AntennaPod,playback,java,1,6,3,5,5,58,54,4,68,17,51,1,8,0,8,11,0,75,8,2,11,31,51,12,11.6,5,39,14.0086,3.4,3,6,0.189655,0,5,0.730066,0.189655,0,2,0.47186,0.87931,0.5,4,1.82353,4,0,0,0,,,0,0,0,0,7,4,11.6,5,39,0.568966,0,2,6,1.13125,7.275,17.175,67.9715,2.86508,977.247,0.0226572,107.313,685.659,0,0,1,1
AntennaPod__AntennaPod,storage,java,1,7,23,6,34,274,240,34,580,236,344,1,29,15,57,50,2,510,44,38,452,846,344,10,8.05882,2,76,15.7628,6.94118,2,105,1.64964,0,15,2.46905,1.64964,1,65,7.05566,1.25547,1,7,3.58475,64,0.0588235,0.0588235,2,1,1,0.652174,4,0.652174,8,8,5,8.05882,2,76,3.45255,2,6,36,4.52482,25.3379,109.05,596.158,9.06985,17777.2,0.198719,1186.31,15586.1,1,1,1,1
AntennaPod__AntennaPod,ui,java,1,6,5,5,5,26,21,5,36,23,13,1,10,0,10,9,0,49,14,0,7,42,13,0,5.2,4,11,2.92575,4.6,3,11,0.269231,0,1,0.44356,0.269231,0,2,0.653846,0.5,0,2,1.82609,8,0,0,0,,,0,0,0,0,7,4,5.2,4,11,2.11538,2,5,5,1.33954,10.2381,23.7143,82.9186,2.12662,241.56,0.0276395,151.236,649.521,0,0,0,0
Anuken__Mindustry,,java,1,83,756,72,1340,8367,6860,1507,17071,7921,9150,6,833,10,2085,2006,529,16288,2070,951,6901,22729,9150,3424,6.24403,4,206,9.87161,5.91119,3,394,0.824788,0,186,2.73793,0.824788,0,104,3.18245,1.09358,1,22,2.86946,335,0.394776,0.394776,46,4,1.25832,0.0132275,3,0.0132275,6,7,4,6.24403,4,206,2.86865,1,6,405,6.10621,24.7106,128.18,854.394,7.71656,75897.1,0.284798,1294.22,24914.9,1,1,1,1
ArthurHub__Android-Image-Cropper,,java,1,11,16,5,35,374,337,37,880,237,643,2,25,5,51,58,5,611,101,23,415,1012,643,81,10.6857,3,81,17.0407,6.77143,2,49,1.10963,0,13,1.97342,1.10963,1,9,1.57564,1.71925,1,17,4.27004,45,0.142857,0.142857,2,1,1,0.3125,2,0.3125,3,7,4,10.6857,3,81,3.13369,1,7,50,5.33611,20.206,103.993,528.659,9.73733,16019,0.17622,1564.65,36399.7,1,1,1,1
AsyncHttpClient__async-http-client,,java,1,32,183,31,223,1892,1644,248,2735,887,1848,1,214,397,405,294,87,2779,598,156,1636,1872,1848,401,8.4843,4,86,12.7169,3.97758,1,76,0.864693,0,61,2.52716,0.864693,0,57,2.13118,0.976744,1,74,2.11048,57,0.390135,0.390135,4,4,1.36782,2.1694,26,2.1694,25,8,5,8.4843,4,86,1.82558,1,4,76,3.4874,13.8405,45.9927,209.159,4.40962,2805.97,0.0697198,526.449,5855.9,1,1,1,1
Baseflow__PhotoView,,java,1,11,26,5,34,183,155,28,283,81,202,2,35,9,59,47,3,264,33,15,141,207,202,33,5.38235,3,52,10.7949,2.38235,0,44,0.770492,0,13,1.52638,0.770492,0,7,1.11218,1.10383,1,9,2.55556,41,0.0882353,0.0882353,1,1,1,0.346154,4,0.346154,5,7,4,5.38235,3,52,1.86885,1,4,15,2.21378,12.4206,41.6111,192.13,3.93005,5337.21,0.0640432,229.388,1027.41,1,1,1,1
Bearded-Hen__Android-Bootstrap,,java,1,15,65,12,74,549,463,86,2806,2318,488,2,78,165,139,94,58,2867,120,19,562,717,488,140,7.41892,4.5,39,7.7075,31.3243,2,935,1.02368,1,9,1.46401,1.02368,0,20,2.03641,0.888889,1,7,0.309318,14,0.783784,0.783784,11,2,1.03333,2.53846,12,2.53846,18,7,4,7.41892,4.5,39,2.38251,1,5,23,3.11459,14.7965,55.9799,254.241,4.17524,3210.6,0.0847469,658.848,7412.04,1,1,1,1
Bigkoo__Android-PickerView,,java,1,23,37,17,40,352,321,31,632,250,382,3,57,73,77,59,7,602,106,52,336,910,382,62,8.8,2.5,50,11.8431,6.25,1.5,72,0.954545,0,20,2.23815,0.954545,1,9,1.30697,1.08523,1,7,3.64,37,0.175,0.175,3,1,1,1.97297,11,1.97297,10,6,3,8.8,2.5,50,3.1875,2,6,42,4.70904,16.2689,92.1574,475.338,8.42659,30367.2,0.158446,1155,18387,1,1,1,1
Blankj__AndroidUtilCode,feature,java,1,6,2,5,2,5,3,2,3,0,3,1,7,0,4,6,0,5,2,0,0,0,3,0,2.5,2.5,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0.6,1,1,,,0,0,0,,,0,0,0,0,6,3,2.5,2.5,3,1,1,1,1,0,8.33333,12.3333,37.8496,1.47619,63.2632,0.0126165,47.5489,142.647,0,0,0,0
Blankj__AndroidUtilCode,lib,java,1,8,16,7,18,176,154,22,246,46,200,1,23,0,34,26,2,222,30,1,103,130,200,17,9.77778,6.5,52,11.5352,2.55556,1.5,9,0.585227,0,4,0.814365,0.585227,0,10,1.05723,1.13636,1,4,2.82609,26,0.111111,0.111111,2,1,1,0,0,0,0,6,3,9.77778,6.5,52,1.80682,1,4,7,1.47985,14.0072,35.971,148.513,3.44075,1062.34,0.0495044,311.777,1874.72,0,1,1,1
Blankj__AndroidUtilCode,plugin,java,1,4,7,3,3,8,5,3,33,11,22,1,10,0,6,5,0,19,3,1,0,26,22,0,2.66667,2,4,0.942809,3.66667,2,7,0,0,0,0,0,0,0,0,2.75,2.5,6,2.36364,4,0,0,0,,,0,0,0,0,5,2,2.66667,2,4,3,3,5,5,1.22474,29,113,570.416,7.2397,5228.81,0.190139,1094.91,12661.1,0,0,1,0
Blankj__awesome-java-leetcode,,java,1,74,70,73,70,223,152,71,212,10,202,1,143,19,140,142,0,233,84,79,122,61,202,29,3.18571,3,6,0.486764,0.142857,0,4,0.547085,0,3,0.812612,0.547085,0,8,1.04443,0.90583,1,5,6.1,12,0,0,0,,,0.271429,1,0.271429,10,6,3,3.18571,3,6,3.40807,3,7,14,2.70182,20.2632,92.8816,425.9,16.08,12864.2,0.141967,888.383,32533.1,1,0,1,1
