repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
SignalR__SignalR,,csharp,118,647,781,1059,309,4053,120,1557,3631,340,3805,856,7446,222
SixLabors__ImageSharp,,csharp,205,1946,2110,2721,502,18385,1739,3001,17127,9406,22300,6122,28974,441
Sonarr__Sonarr,,csharp,451,2519,3113,3663,1202,14282,1234,3443,13756,377,12253,6399,26779,385
Sophia-Community__SophiApp,,csharp,14,152,180,193,35,1923,8,74,917,13,974,30,2159,21
Stability-AI__StableSwarmUI,,csharp,15,69,152,243,21,1364,28,31,1095,1262,912,248,1372,39
StackExchange__StackExchange.Redis,,csharp,17,318,512,718,233,6440,602,560,9886,1685,10405,4151,11291,362
StephenCleary__AsyncEx,,csharp,12,59,83,108,1,664,1,212,519,10,350,64,1260,1
StockSharp__StockSharp,,csharp,176,940,1282,1585,704,9154,837,1473,4477,767,8887,4352,14031,1054
TGSAN__CMWTAT_Digital_Edition,,csharp,3,8,12,17,0,189,0,2,62,12,71,4,131,0
TechnitiumSoftware__DnsServer,,csharp,38,151,190,238,113,2576,69,463,2279,385,2647,408,3271,119
TheAlgorithms__C-Sharp,,csharp,113,469,481,616,56,1998,26,720,1854,35,1744,99,4534,1
ThreeMammals__Ocelot,,csharp,159,721,794,1002,347,5483,308,1941,5696,72,3428,1236,8847,17
Tichau__FileConverter,,csharp,13,98,124,141,22,618,6,34,360,333,523,75,958,36
Tyrrrz__CliWrap,,csharp,16,75,83,104,10,332,84,31,360,5,276,44,734,3
Tyrrrz__DiscordChatExporter,,csharp,37,185,175,217,53,585,52,80,492,1,539,152,1218,52
Tyrrrz__YoutubeDownloader,,csharp,17,64,66,87,7,243,12,22,115,0,201,39,456,5
Uahh__ToastFish,,csharp,10,18,26,36,3,192,3,49,130,91,138,30,276,0
UnigramDev__Unigram,,csharp,100,1039,1913,1994,835,21180,183,2531,15687,2110,19259,3431,31807,403
Unity-Technologies__EntityComponentSystemSamples,,csharp,218,734,1812,1752,52,5533,17,557,828,1544,2657,623,7332,28
Unity-Technologies__FPSSample,,csharp,165,595,1114,603,282,7844,250,705,3875,2681,4636,2083,9153,272
Unity-Technologies__ml-agents,,csharp,64,331,458,510,153,3707,152,581,1646,824,1415,655,4656,174
UnityCommunity__UnityLibrary,,csharp,55,114,124,111,0,992,45,35,184,211,411,48,1136,0
UnityTechnologies__open-project-1,,csharp,70,311,402,88,140,2410,51,61,768,337,738,681,3195,188
VeriorPies__ParrelSync,,csharp,4,14,17,20,0,102,4,4,68,50,51,7,151,0
VsVim__VsVim,,csharp,63,503,1204,1971,724,9955,62,263,7795,249,4408,492,18394,210
XCharts-Team__XCharts,,csharp,66,377,435,447,268,4167,123,79,4641,1792,4431,1050,5684,303
XINCGer__Unity3DTraining,,csharp,258,1113,1371,803,300,14456,380,758,17032,2862,10347,1879,21494,385
Xabaril__AspNetCore.Diagnostics.HealthChecks,,csharp,274,523,563,858,22,2149,116,361,557,174,2237,304,4091,7
XuanchenLin__NanUI,,csharp,51,587,482,503,136,3292,380,531,1747,324,5028,1997,5998,374
aalhour__C-Sharp-Algorithms,,csharp,17,157,190,224,0,1379,11,279,1285,34,1233,87,2699,0
abpframework__abp,,csharp,1852,6756,7199,8974,4094,20602,691,3294,15335,1900,23640,6552,44564,1145
actions__runner,,csharp,78,656,1195,1405,611,7233,332,1649,5786,1177,8449,1832,10496,177
akkadotnet__akka.net,,csharp,408,2131,6918,10047,4535,33687,3006,10216,42441,5043,25138,11364,57050,2606
anjoy8__Blog.Core,,csharp,104,485,541,649,81,2251,30,282,1332,181,2585,406,4350,2
ant-design-blazor__ant-design-blazor,,csharp,172,597,657,800,214,4146,72,212,2344,356,2727,497,6504,237
aspnetboilerplate__aspnetboilerplate,,csharp,638,2602,2881,3708,1506,10550,465,1666,8092,818,11048,3159,21679,359
autofac__Autofac,,csharp,95,575,1141,1829,371,3085,178,1801,2616,169,2381,1047,6790,120
babalae__better-genshin-impact,,csharp,159,648,764,905,121,4748,322,318,2491,549,3953,902,7038,54
bchavez__Bogus,,csharp,37,205,315,405,146,1663,60,417,1327,339,971,158,3078,12
beto-rodriguez__LiveCharts2,,csharp,1219,1709,1688,3096,127,5436,205,1833,2274,155,3206,1017,8433,199
bflattened__bflat,,csharp,14,61,89,87,55,229,27,19,74,74,172,151,324,2
bitwarden__mobile,,csharp,100,862,919,1058,366,6455,65,1133,5840,526,5237,1880,9789,66
bitwarden__server,,csharp,506,2089,2497,3250,774,10944,246,3328,11791,811,16766,6907,20687,93
borisdj__EFCore.BulkExtensions,,csharp,16,73,170,198,23,593,22,317,577,23,1188,179,1304,25
brandonlw__Psychson,,csharp,6,9,7,9,0,82,0,5,68,12,54,2,105,0
btcpayserver__btcpayserver,,csharp,173,1111,1453,1826,304,5927,312,1636,6819,1474,7447,2934,10663,268
builtbybel__Winpilot,,csharp,14,53,54,55,37,377,0,60,254,16,175,109,619,127
builtbybel__privatezilla,,csharp,13,71,70,81,61,502,0,64,98,0,58,1,857,305
cake-build__cake,,csharp,474,1640,2822,4473,435,10208,856,7234,9976,95,9345,4146,23442,60
canton7__SyncTrayzor,,csharp,30,233,352,404,86,1769,36,152,703,869,1612,535,2886,33
